Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/AtariLynx/Manuals/!System Manual (Atari Lynx).pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2F%21System%20Manual%20%28Atari%20Lynx%29.pdf,578498,f8a684813708591d58b309d7f0b26dc2,,,!System Manual (Atari Lynx).pdf
docs/AtariLynx/Manuals/APB - All Points Bulletin.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FAPB%20-%20All%20Points%20Bulletin.pdf,2258321,c2e3375d0904103648af674a614829fe,,,APB - All Points Bulletin.pdf
docs/AtariLynx/Manuals/Awesome Golf.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FAwesome%20Golf.pdf,2628507,e8b9eedec0bb52079a1fc25c90efd39e,,,Awesome Golf.pdf
docs/AtariLynx/Manuals/Baseball Heroes.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBaseball%20Heroes.pdf,1019584,62d3029b02217e538f1209b91944e26e,,,Baseball Heroes.pdf
docs/AtariLynx/Manuals/Basketbrawl.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBasketbrawl.pdf,706895,068dba6b76007186599a1b22512cbf34,,,Basketbrawl.pdf
docs/AtariLynx/Manuals/Batman Returns.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBatman%20Returns.pdf,682852,a51053c917a4806fd61655637d92e65e,,,Batman Returns.pdf
docs/AtariLynx/Manuals/Battle Wheels.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBattle%20Wheels.pdf,2004796,0362c660adbfbb14b19b0e29c9c4a3cb,,,Battle Wheels.pdf
docs/AtariLynx/Manuals/Battlezone 2000.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBattlezone%202000.pdf,507150,65d18759d77d914adcd767d7d704b552,,,Battlezone 2000.pdf
docs/AtariLynx/Manuals/Bill & Ted's Excellent Adventure.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBill%20%26%20Ted%27s%20Excellent%20Adventure.pdf,2073322,246c80afdb4197d0a8d98a86c938bdb9,,,Bill & Ted's Excellent Adventure.pdf
docs/AtariLynx/Manuals/Block Out.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBlock%20Out.pdf,2002188,9fa3f34e343d6d6219bcba523d34d9e1,,,Block Out.pdf
docs/AtariLynx/Manuals/Blue Lightning.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBlue%20Lightning.pdf,20531,a3707d627b1a1cf6b57685e97054f346,,,Blue Lightning.pdf
docs/AtariLynx/Manuals/Bubble Trouble.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FBubble%20Trouble.pdf,13236,3607528b47da151b561cc6519c10af30,,,Bubble Trouble.pdf
docs/AtariLynx/Manuals/California Games.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FCalifornia%20Games.pdf,1016738,ac8571cb020a0a073c1e1271296e423a,,,California Games.pdf
docs/AtariLynx/Manuals/Checkered Flag.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FCheckered%20Flag.pdf,2671085,780590855cc638ed100fb698b7bfb198,,,Checkered Flag.pdf
docs/AtariLynx/Manuals/Chip's Challenge.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FChip%27s%20Challenge.pdf,1607588,c555d7f0abc6fdf50aaa9580e82be22c,,,Chip's Challenge.pdf
docs/AtariLynx/Manuals/Crystal Mines II.pdf,https://archive.org/download/mister-manuals/1989_Atari%20Lynx.zip/1989_Atari%20Lynx%2FCrystal%20Mines%20II.pdf,619007,7de20adbdb5adc83cb5b607e8168cab8,,,Crystal Mines II.pdf
